,date,agency,final_incident_type,of_incidents_calculated,call_to_first_pickup,call_to_pd_calltaker_handoff,call_to_ems_pickup,call_to_agency_job_creation,call_to_agency_dispatch,call_to_agency_arrival,call_to_first_arrival_multi,median_pickup,median_calltaker_handoff,median_ems_pickup,median_ems_job_creation,median_dispatch,median_travel,median_cumulative_first,average_travel,average_dispatch,average_ems_processing,average_ems_pickup,average_calltaker_processing,average_pickup,call_to_fdny_pickup,call_to_fdny_job_creation,median_fdny_pickup,median_fdny_job_creation,average_fd_pickup,average_fd_processing
0,2019-06-24,EMS,1. Life Threating Med Emergencies,7801,4.50865273682861,65.3686706832457,74.6556531213947,108.983095116011,161.398025894116,580.359312908601,498.834508396359,3.0,78.5,16.5,37.0,85.5,366.5,447.0,6.98268811690809,1.53748023757638,0.543569200529847,0.181256676494467,1.01698927487929,0.075144212280477,,,,,,
1,2019-06-24,EMS,2. Non-Life Threatening Med Emergencies,11329,4.48221378762468,77.6912348839262,90.4198921646512,82.9811122635125,258.028599170271,933.313884720628,798.274340188896,3.0,89.5,16.0,39.0,92.5,552.5,636.5,11.2547547591726,2.93468826315944,-0.114835084002707,0.244208079559832,1.22231588548563,0.074703563127078,,,,,,
2,2019-06-24,FDNY,1. Structural Fires,171,4.4093567251462,30.4035087719298,,,95.5146198830409,291.976608187135,288.33918128655,3.0,15.0,,,7.0,192.0,274.0,3.27436647173489,0.142982456140351,,,0.433235867446394,0.073489278752437,36.3625730994152,86.9356725146199,5.0,48.0,0.099317738791423,0.842884990253411
3,2019-06-24,FDNY,2. Non-Structural Fires,124,5.01612903225806,42.258064516129,,,116.290322580645,381.887096774194,378.806451612903,3.0,18.0,,,8.0,235.5,330.5,4.42661290322581,0.168682795698925,,,0.620698924731183,0.083602150537634,38.2113821138211,97.6422764227642,5.0,49.0,0.083333333333333,0.990514905149051
4,2019-06-24,FDNY,3. Medical Emergencies,3039,4.42316551497203,235.669957222771,76.916296479105,230.466319787211,260.19809147746,557.654491609082,476.759131293189,3.0,122.0,5.0,50.0,6.0,271.0,415.0,4.95760666886037,0.408802237578151,1.83356915652079,0.091252605023582,3.85328507184381,0.073719425249534,,,,,,
5,2019-06-24,FDNY,4. Non-Medical Emergencies,2301,4.62233811386354,161.051282051282,,,229.870925684485,559.67666232073,519.951325510648,3.0,33.0,,,7.0,291.0,410.0,5.49676227727075,0.18666521802115,,,2.60714906562364,0.077038968564392,54.7400302877335,116.328621908127,5.0,45.9999999,0.088978630321387,1.02647652700656
6,2019-06-24,NYPD,1. Critical,988,4.25506072874494,118.208502024291,,,212.598178137652,406.56983805668,387.717611336032,3.0,88.5,,,55.0,128.0,313.0,3.23286099865047,1.57316126855601,,,1.89922402159244,0.070917678812416,,,,,,
7,2019-06-24,NYPD,2. Serious,1919,4.19958311620636,115.809275664409,,,263.427826993226,653.553934340803,623.786347055758,3.0,91.0,,,73.0,217.0,431.0,6.50210178912628,2.46030918881362,,,1.86016154247004,0.069993051936773,,,,,,
8,2019-06-24,NYPD,3. Non-Critical,441,4.49659863945578,169.142857142857,,,580.455782312925,1480.33786848073,1464.81405895692,3.0,135.0,,,137.0,398.0,796.0,14.9980347694633,6.85521541950113,,,2.74410430839002,0.074943310657596,,,,,,
9,2019-06-24,NYPD (Non-CIP),Alarms,1958,4.4341164453524,126.53064351379,,,807.161389172625,3509.97395301328,3508.94382022472,3.0,108.0,,,298.5,1434.5,2095.0,45.0468760640109,11.3438457609806,,,2.03494211780729,0.073901940755873,,,,,,
